effect_type,effect_label,feature,feature_label,feature_family,mean_chatgpt_raw,mean_xai_raw,mean_chatgpt_standardized,mean_xai_standardized,abs_standardized_model_gap,n_pairs,mean_chatgpt,mean_xai,mean_difference_xai_minus_chatgpt,median_difference_xai_minus_chatgpt,sd_difference,se_difference,ci95_low,ci95_high,bootstrap_ci95_low,bootstrap_ci95_high,paired_t_statistic,paired_t_p_value,cohens_dz,wilcoxon_statistic,wilcoxon_p_value,holm_adjusted_p_all_features,bh_fdr_p_all_features
scan_pushed_minus_clean,Pushed scan minus clean scan,left_warmth_mean,left_warmth_mean,other,-0.007830824913172465,-0.009974133141036469,-0.1064867749088892,-0.13563236089140876,0.029145585982519564,72,-0.007830824913172465,-0.009974133141036469,-0.0021433082278640037,-0.012245165649801493,0.07874322919457313,0.009279978556001532,-0.020647059923352883,0.01636044346762488,-0.0203448987487516,0.0160664756344128,-0.23096047204526,0.8180097690891532,-0.027218952661541562,1214.0,0.5746820962480728,1.0,0.9273947963510748
lighting_warm_minus_cool,Warm practical minus cool ambient,luma_p01,luma_p01,tone_texture,0.004074444748564727,0.004574019579093955,0.23082508901057708,0.2591269587966318,0.028301869786054677,72,0.004074444748564727,0.004574019579093955,0.0004995748305292283,-0.00015725521370768547,0.03257404077498263,0.003838887520439554,-0.0071549494807565586,0.008154099141815014,-0.00664785228075036,0.008334789191455149,0.13013531338683942,0.896827369407469,0.015336593761278446,1278.0,0.8399003340418381,1.0,0.9580877602784083
filmstock_cinestill_minus_portra,CineStill minus Portra,highlight_warmth_rgb_r_minus_b,Highlight warmth,color,0.00814441012011634,0.004986257602771123,0.06885579206699166,0.04215562718788532,0.026700164879106335,72,0.00814441012011634,0.004986257602771123,-0.0031581525173452166,0.006642475724220276,0.11418122503484207,0.01345638641772067,-0.029989424970127302,0.02367311993543687,-0.028840470417506165,0.022658412779370935,-0.23469543897656334,0.8151206537255821,-0.027659122735646913,1302.0,0.946310777557944,1.0,0.9259137522902243
lighting_warm_minus_cool,Warm practical minus cool ambient,rgb_cov_r_g,rgb_cov_r_g,color,-0.009449033434881564,-0.00906976403750295,-0.654644814019918,-0.6283683968793238,0.02627641714059416,72,-0.009449033434881564,-0.00906976403750295,0.0003792693973786136,-0.0001890687352772303,0.023060532683624797,0.002717709839727518,-0.005039690113274869,0.005798228908032096,-0.004858683314682758,0.005821828028893651,0.13955477948177125,0.8894068882164441,0.016446688486425616,1290.0,0.8928643778855581,1.0,0.9557675261990313
filmstock_cinestill_minus_portra,CineStill minus Portra,local_lab_cov_a_b_mean,local_lab_cov_a_b_mean,color,6.046311994402029,6.517936796255923,0.3348268083570607,0.36094398975507214,0.026117181398011485,72,6.046311994402029,6.517936796255923,0.4716248018538939,3.0675247702098085,20.363507879008015,2.399862418332043,-4.313564950921247,5.256814554629035,-4.223184503061668,5.036380004217868,0.19652159984307913,0.8447633673468582,0.0231602926497784,1243.0,0.6903130727600566,1.0,0.9419341033672828
scan_pushed_minus_clean,Pushed scan minus clean scan,shadow_red_excess,shadow_red_excess,color,-0.008188150362305654,-0.007295181615012957,-0.23765676344317666,-0.21173881458448807,0.02591794885868859,72,-0.008188150362305654,-0.007295181615012957,0.000892968747292697,-0.00591888593044132,0.03965019545493635,0.004672820346926254,-0.008424370392595,0.010210307887180395,-0.007816398878013489,0.010350190231151298,0.19109845467953526,0.8489938738587879,0.022521168863028254,1211.0,0.5632611291058202,1.0,0.9419341033672828
scan_pushed_minus_clean,Pushed scan minus clean scan,local_lab_corr_a_b_abs_mean,local_lab_corr_a_b_abs_mean,color,-0.012568820438756408,-0.009789754585438442,-0.11599072340093847,-0.09034425480224383,0.0256464685986946,72,-0.012568820438756408,-0.009789754585438442,0.002779065853317966,0.013135856065096763,0.14085174459614846,0.01659953729098204,-0.03031947143734182,0.035877603143977754,-0.030804880450728545,0.0350440212062026,0.1674182722447172,0.8675168862844821,0.019730432599795848,1226.0,0.6214269317065444,1.0,0.9450602951143798
scan_pushed_minus_clean,Pushed scan minus clean scan,fft_radial_loglog_slope,Fourier radial slope,tone_texture,0.01848536154615027,0.024159524239545663,0.0820235089804506,0.1072009843290559,0.025177475348605306,72,0.01848536154615027,0.024159524239545663,0.005674162693395391,0.02343557434152488,0.23132745564573948,0.027262202093622116,-0.04868512436404955,0.06003344975084034,-0.04880280006394295,0.05923658059737641,0.20813295543439758,0.8357210519492391,0.024528704029343335,1191.0,0.49004434243179773,1.0,0.9419341033672828
filmstock_cinestill_minus_portra,CineStill minus Portra,color_spatial_var_lab_a,color_spatial_var_lab_a,spatial_covariance,9.158460955652926,8.603906017210749,0.4150631996093695,0.3899306638892805,0.025132535720088917,72,9.158460955652926,8.603906017210749,-0.5545549384421773,-2.142673373222351,32.92039033425333,3.8797052074431004,-8.290467406019484,7.181357529135129,-7.767311380927762,7.1045939240397615,-0.14293739054665286,0.8867445073743666,-0.01684533302344136,1195.0,0.5042666773674913,1.0,0.9553324803204503
scan_pushed_minus_clean,Pushed scan minus clean scan,lab_chroma_mean,lab_chroma_mean,color,0.02111543549431695,-0.07746568653318617,0.005380551930011678,-0.019739500485225332,0.025120052415236994,72,0.02111543549431695,-0.07746568653318617,-0.09858112202750312,-0.15259742736816406,4.079379366534344,0.4807594688514862,-1.0571882764729095,0.8600260324179033,-1.0197952538728714,0.849774565133783,-0.20505289737300275,0.8381175327244478,-0.024165715705733243,1249.0,0.7152905090737087,1.0,0.9419341033672828
lighting_warm_minus_cool,Warm practical minus cool ambient,luma_p95,luma_p95,tone_texture,-0.09927527223610216,-0.09641479938808414,-0.8694230021686352,-0.8443718405336305,0.02505116163500473,72,-0.09927527223610216,-0.09641479938808414,0.0028604728480180106,0.001987144351005554,0.16240710551072232,0.019139860936585144,-0.0353033259279735,0.041024271624009526,-0.03389665421046731,0.0400267137473242,0.14945107790988812,0.8816214247284586,0.017612978440953487,1290.0,0.8928643778855581,1.0,0.9533244611204219
