model_key,scene_key,film_key,light_key,scan_key,condition_id,n_images,n_runs,n_features,mean_distance_to_condition_centroid,sd_distance_to_condition_centroid,mean_pairwise_seed_distance,sd_pairwise_seed_distance,mean_run_centroid_distance,sd_run_centroid_distance
xai_grok_imagine,apartment,cinestill800t,warm_practical,pushed_scan,apartment_cinestill800t_warm_practical_pushed_scan,6,3,23,3.0496426509784484,1.1121286752341828,4.737025752892679,1.588468303268104,1.9190764320709395,0.311431529094132
xai_grok_imagine,apartment,portra400,cool_ambient,clean_scan,apartment_portra400_cool_ambient_clean_scan,6,3,23,2.691676800796806,0.5142383152364095,4.143700208391676,0.8945838652873828,1.9376289584009168,0.4422998882464351
xai_grok_imagine,apartment,portra400,cool_ambient,pushed_scan,apartment_portra400_cool_ambient_pushed_scan,6,3,23,2.7768276186816934,0.9754175235097575,4.322343579772326,1.3599146110419555,1.9520204481081436,0.6034922627398014
xai_grok_imagine,apartment,portra400,warm_practical,clean_scan,apartment_portra400_warm_practical_clean_scan,6,3,23,2.211023910074037,0.38022869154214967,3.4251487433958454,0.5576173376487406,1.2561883664337221,0.08841937902640375
xai_grok_imagine,apartment,portra400,warm_practical,pushed_scan,apartment_portra400_warm_practical_pushed_scan,6,3,23,2.5751940635968635,0.6077966994012239,3.9906881046537905,0.8838678129737741,1.8079670965118249,0.5431275886551779
xai_grok_imagine,backstage,cinestill800t,cool_ambient,clean_scan,backstage_cinestill800t_cool_ambient_clean_scan,6,3,23,2.766849337973749,0.7780243813222496,4.310100968670444,1.038594244351312,1.4704467425353427,0.6077170332284244
xai_grok_imagine,backstage,cinestill800t,cool_ambient,pushed_scan,backstage_cinestill800t_cool_ambient_pushed_scan,6,3,23,2.578885540436595,0.4679659293896903,3.9634310589299826,0.8602906341526291,1.8234443032606027,0.3688604469851872
xai_grok_imagine,backstage,cinestill800t,warm_practical,clean_scan,backstage_cinestill800t_warm_practical_clean_scan,6,3,23,2.8209309603104873,0.40452078171007105,4.348338107734036,0.7446907689800032,1.7921286125483131,0.33980174933423485
xai_grok_imagine,backstage,cinestill800t,warm_practical,pushed_scan,backstage_cinestill800t_warm_practical_pushed_scan,6,3,23,2.8768544603964443,0.8569304351971546,4.478896316319128,1.1670691938375426,1.9962099384987904,0.8776775117319129
xai_grok_imagine,backstage,portra400,cool_ambient,clean_scan,backstage_portra400_cool_ambient_clean_scan,6,3,23,1.9783962582568753,0.6083360462961602,3.065977480000511,0.8865977066168653,1.596802213833359,0.4485249861770951
