metric,metric_label,method,term,estimate,standard_error,ci95_low,ci95_high,p_value
distance_structure_features,Structure features,OLS HC3,Run block 3,-0.21228253015058948,0.1362359099135258,-0.48006984987930434,0.05550478957812541,0.11993768627650558
distance_structure_features,Structure features,OLS HC3,Within-run replicate 2,0.18155107151713668,0.10496907877011795,-0.024777702416874936,0.3878798454511483,0.08444059958903805
distance_structure_features,Structure features,Two-stage WLS,Intercept,2.2589238811299666,0.17297905389085844,1.9189136940945217,2.5989340681654114,0.0
distance_structure_features,Structure features,Two-stage WLS,xAI model,-0.3526561283757289,0.16149411694062615,-0.6700913534565163,-0.03522090329494154,0.02953497450985698
distance_structure_features,Structure features,Two-stage WLS,Lighting effect,0.11019605742632707,0.174298492704123,-0.23240763805762024,0.4527997529102744,0.5275823270700657
distance_structure_features,Structure features,Two-stage WLS,Scan effect,-0.15564102464772134,0.17373820431749012,-0.4971434089911127,0.18586135969567003,0.3708520154475141
distance_structure_features,Structure features,Two-stage WLS,xAI by lighting effect,0.3279915974758782,0.24483985971000402,-0.15326925244330392,0.8092524473950603,0.18109262330699671
distance_structure_features,Structure features,Two-stage WLS,xAI by scan effect,0.0657844370905076,0.23146648635950265,-0.3891895123518815,0.5207583865328967,0.7763913445452229
distance_structure_features,Structure features,Two-stage WLS,Backstage scene,-0.030344162367559123,0.1175849735627037,-0.2614709257202958,0.20078260098517753,0.7964854959807137
distance_structure_features,Structure features,Two-stage WLS,Corner store scene,0.3378774810662767,0.11758497356270374,0.10675071771353997,0.5690042444190134,0.004265368643784795
distance_structure_features,Structure features,Two-stage WLS,Run block 2,-0.3239622400654505,0.12537041178436456,-0.5703921759489493,-0.0775323041819517,0.010100904393935517
distance_structure_features,Structure features,Two-stage WLS,Run block 3,-0.2215829718793176,0.12907659540690727,-0.47529783711318463,0.03213189335454944,0.08677352666130123
distance_structure_features,Structure features,Two-stage WLS,Within-run replicate 2,0.17410170216222554,0.09600772888242456,-0.014612509876175461,0.36281591420062653,0.07048000012963573
distance_structure_features,Structure features,Huber IRLS,Intercept,2.2374200907967596,0.15519023050843503,1.9323758781342266,2.5424643034592926,0.0
distance_structure_features,Structure features,Huber IRLS,xAI model,-0.3340798138808163,0.16210075406597413,-0.6527074538685689,-0.015452173893063692,0.0399224965317857
distance_structure_features,Structure features,Huber IRLS,Lighting effect,0.09348529869694064,0.16276088051654558,-0.2264398956066511,0.41341049300053234,0.5660228326844909
distance_structure_features,Structure features,Huber IRLS,Scan effect,-0.15280229810734636,0.16255070537092345,-0.4723143690357907,0.166709772821098,0.3477419610761949
distance_structure_features,Structure features,Huber IRLS,xAI by lighting effect,0.27160824445134946,0.2299462148811737,-0.18037743688536817,0.723593925788067,0.23819740857861627
distance_structure_features,Structure features,Huber IRLS,xAI by scan effect,0.0706034265661736,0.22890730581445476,-0.37934015974144997,0.5205470128737971,0.757902575613834
distance_structure_features,Structure features,Huber IRLS,Backstage scene,-0.04566106260327191,0.11470614742658465,-0.2711291627192333,0.1798070375126895,0.6907804560520896
distance_structure_features,Structure features,Huber IRLS,Corner store scene,0.30361345277090557,0.11479320912845618,0.07797422288592809,0.529252682655883,0.008477838787687375
distance_structure_features,Structure features,Huber IRLS,Run block 2,-0.2928693411063605,0.11481884802840853,-0.5185589671923351,-0.06717971502038586,0.011103376522942021
distance_structure_features,Structure features,Huber IRLS,Run block 3,-0.2017492603600734,0.11524291328642797,-0.4282724353899878,0.024773914669840996,0.08073569853077989
distance_structure_features,Structure features,Huber IRLS,Within-run replicate 2,0.12316571921544606,0.09370589358623412,-0.061023971315996545,0.3073554097468887,0.18943195264229318
