group_type,group,n,point_index,PC1,PC2
model_key,chatgpt_image_2,144,122,-0.20015794471118697,-1.1644911176481227
model_key,chatgpt_image_2,144,123,-0.21466404395122973,-1.1993041039122092
model_key,chatgpt_image_2,144,124,-0.23158461466470137,-1.2334661851986584
model_key,chatgpt_image_2,144,125,-0.2508932373890249,-1.2669240214728241
model_key,chatgpt_image_2,144,126,-0.27255976400188886,-1.2996253722950495
model_key,chatgpt_image_2,144,127,-0.2965503647939576,-1.3315191783879081
model_key,chatgpt_image_2,144,128,-0.32282758128995037,-1.3625556413592088
model_key,chatgpt_image_2,144,129,-0.3513503847356019,-1.3926863014562727
model_key,chatgpt_image_2,144,130,-0.38207424015919256,-1.421864113230082
model_key,chatgpt_image_2,144,131,-0.4149511759076203,-1.4500435189911676
model_key,chatgpt_image_2,144,132,-0.44992985854843925,-1.477180519942529
model_key,chatgpt_image_2,144,133,-0.48695567302092657,-1.5032327448785372
model_key,chatgpt_image_2,144,134,-0.5259708079110115,-1.5281595163425397
model_key,chatgpt_image_2,144,135,-0.566914345716939,-1.5519219141398815
model_key,chatgpt_image_2,144,136,-0.6097223579647162,-1.5744828361071685
model_key,chatgpt_image_2,144,137,-0.654328005024833,-1.595807056042891
model_key,chatgpt_image_2,144,138,-0.7006616404744153,-1.615861278708957
model_key,chatgpt_image_2,144,139,-0.7486509198418418,-1.6346141918172523
model_key,chatgpt_image_2,144,140,-0.7982209135640508,-1.6520365149200638
model_key,chatgpt_image_2,144,141,-0.8492942239801583,-1.6681010451280205
model_key,chatgpt_image_2,144,142,-0.9017911061787143,-1.6827826995841768
model_key,chatgpt_image_2,144,143,-0.9556295925099216,-1.696058554627917
model_key,chatgpt_image_2,144,144,-1.0107256205683872,-1.7079078815875288
model_key,chatgpt_image_2,144,145,-1.0669931644465898,-1.7183121791455649
model_key,chatgpt_image_2,144,146,-1.1243443690541244,-1.727255202226453
model_key,chatgpt_image_2,144,147,-1.1826896872929913,-1.7347229873612524
model_key,chatgpt_image_2,144,148,-1.2419380198747678,-1.740703874489955
model_key,chatgpt_image_2,144,149,-1.3019968575613283,-1.7451885251672832
model_key,chatgpt_image_2,144,150,-1.3627724256070377,-1.7481699371435648
model_key,chatgpt_image_2,144,151,-1.4241698301768881,-1.749643455297913
model_key,chatgpt_image_2,144,152,-1.4860932065119519,-1.7496067789066476
model_key,chatgpt_image_2,144,153,-1.5484458686108302,-1.7480599652355995
model_key,chatgpt_image_2,144,154,-1.611130460193362,-1.7450054294506983
model_key,chatgpt_image_2,144,155,-1.6740491067109,-1.7404479408469768
model_key,chatgpt_image_2,144,156,-1.7371035681658014,-1.7343946154018832
model_key,chatgpt_image_2,144,157,-1.8001953925015164,-1.7268549046645272
model_key,chatgpt_image_2,144,158,-1.8632260693237963,-1.7178405809982078
model_key,chatgpt_image_2,144,159,-1.9260971837129752,-1.7073657191992653
model_key,xai_grok_imagine,144,0,2.0838575852063825,-0.22535315306642378
model_key,xai_grok_imagine,144,1,2.0338883557904013,-0.24049242903002843
model_key,xai_grok_imagine,144,2,1.9834930950398337,-0.2540345385992152
model_key,xai_grok_imagine,144,3,1.9327504891720646,-0.2659583373774369
model_key,xai_grok_imagine,144,4,1.8817397667426463,-0.2762452077683416
