component,feature,loading
PC2,lab_cov_a_b,0.11736224104598912
PC2,lab_corr_a_b,0.04810334393332304
PC2,hue_entropy_12bin,-0.03077979585634178
PC2,edge_density_canny,0.010590260651078365
PC2,gradient_mag_mean,0.0050600400170291195
PC2,gradient_mag_sd,0.028524434836227103
PC2,gradient_mag_p95,0.03175649490733218
PC2,orientation_entropy,-0.0019978541007852763
PC2,texture_highpass_std,0.029894855479568584
PC2,texture_highpass_mad,-0.029718538774415822
PC2,laplacian_variance,0.02665931555404593
PC2,local_contrast_mean,-0.004785352427005931
PC2,local_contrast_p95,0.01191163672231781
PC2,image_entropy_gray,0.0714288173684542
PC2,top_luma_mean,0.10515707029692632
PC2,bottom_luma_mean,-0.00607542482162795
PC2,top_bottom_luma_delta,0.10921256095969666
PC2,left_warmth_mean,0.10458328028616196
PC2,right_warmth_mean,0.10408926717748752
PC2,left_right_warmth_delta,0.006938899483710377
PC2,center_luma_mean,0.0218990463138733
PC2,edge_luma_mean,0.08406702388290518
PC2,center_edge_luma_delta,-0.050892287721081286
PC2,color_spatial_var_rgb_r,0.11450631480711901
PC2,color_spatial_range_rgb_r,0.1006093021804894
PC2,color_spatial_var_rgb_g,0.10999361618957107
PC2,color_spatial_range_rgb_g,0.08708285281931988
PC2,color_spatial_var_rgb_b,0.09196020911089678
PC2,color_spatial_range_rgb_b,0.07153416516694734
PC2,color_spatial_var_lab_l,0.10720025641894167
PC2,color_spatial_range_lab_l,0.0835375672157967
PC2,color_spatial_var_lab_a,0.11759604850563082
PC2,color_spatial_range_lab_a,0.1254609076173885
PC2,color_spatial_var_lab_b,0.09338798235193181
PC2,color_spatial_range_lab_b,0.0996322278592148
PC2,halation_bright_threshold_luma,0.05480446499255561
PC2,halation_bright_fraction,0.040436886005664446
PC2,halation_ring_fraction,-0.022413815660549993
PC2,red_highlight_excess_mean,0.019810060279641627
PC2,warm_highlight_excess_mean,0.01808909272921699
PC2,halation_ring_red_excess_mean,0.03484774289443184
PC2,halation_ring_red_excess_p95,0.02871629416636784
PC2,halation_background_red_excess_mean,0.13139672485983311
PC2,halation_index_ring_minus_background,-0.04698327719659106
PC2,local_lab_cov_l_a_mean,0.04230286605397537
PC2,local_lab_cov_l_a_sd,0.13975446864773924
PC2,local_lab_cov_l_a_abs_mean,0.11729125865601837
PC2,local_lab_cov_l_a_p90_abs,0.12372830504104483
PC2,local_lab_corr_l_a_mean,0.059667059076953445
PC2,local_lab_corr_l_a_sd,0.013524625018650805
PC2,local_lab_corr_l_a_abs_mean,-0.015766207160593963
PC2,local_lab_corr_l_a_p90_abs,-0.0036443670074394916
PC2,local_lab_cov_l_b_mean,0.04470876691209238
PC2,local_lab_cov_l_b_sd,0.10059703448521173
PC2,local_lab_cov_l_b_abs_mean,0.07901470864360448
PC2,local_lab_cov_l_b_p90_abs,0.08040298493855959
PC2,local_lab_corr_l_b_mean,0.03181681311416885
PC2,local_lab_corr_l_b_sd,0.05220405048513273
PC2,local_lab_corr_l_b_abs_mean,0.052038377918869796
PC2,local_lab_corr_l_b_p90_abs,0.06948433246056927
PC2,local_lab_cov_a_b_mean,0.1143579625485237
PC2,local_lab_cov_a_b_sd,0.11762523532335149
PC2,local_lab_cov_a_b_abs_mean,0.12358200638365899
PC2,local_lab_cov_a_b_p90_abs,0.1258919705608188
PC2,local_lab_corr_a_b_mean,0.07547611618310042
PC2,local_lab_corr_a_b_sd,-0.03203290709971961
PC2,local_lab_corr_a_b_abs_mean,0.08212812604087033
PC2,local_lab_corr_a_b_p90_abs,0.08747539200854172
PC2,hue_circular_mean_turns,-0.07266399921823215
PC2,hue_resultant_length,0.01685311424095555
PC2,hue_circular_variance,-0.016853114240955543
PC2,hue_warm_share,0.12523424634629265
PC2,hue_red_orange_share,0.12998724571787984
PC2,hue_yellow_share,0.010395117593010034
PC2,hue_green_share,-0.04901536469489668
PC2,hue_teal_cyan_share,-0.08433178004467971
PC2,hue_blue_share,-0.07161146829716034
PC2,hue_magenta_share,-0.008726245742875609
PC2,hue_red_orange_highlight_share,0.01566233798501241
PC2,hue_teal_cyan_shadow_share,0.017406860101594524
PC2,shadow_lab_l,0.0527453718692027
PC2,shadow_lab_a,0.1057924776928359
PC2,shadow_lab_b,0.06485201815758297
PC2,shadow_warmth_rgb_r_minus_b,0.08056189973106481
PC2,shadow_saturation,0.07317167427768634
PC2,shadow_red_excess,0.08407298169099307
PC2,midtone_lab_l,0.08670175820028363
PC2,midtone_lab_a,0.10727511310193275
PC2,midtone_lab_b,0.13776308770024195
PC2,midtone_warmth_rgb_r_minus_b,0.1457356879055533
PC2,midtone_saturation,0.037380090345570396
PC2,midtone_red_excess,0.12969243570691416
PC2,midtone_fraction,-0.003572630135432086
PC2,highlight_lab_l,0.0825967483794501
PC2,highlight_lab_a,0.05556683399822955
PC2,highlight_lab_b,0.04447218836000538
PC2,highlight_warmth_rgb_r_minus_b,0.053180560224620366
PC2,highlight_saturation,0.01839523809456295
PC2,highlight_red_excess,0.05196930222818783
PC2,highlight_minus_shadow_lab_a,-0.0072091957115509335
PC2,highlight_minus_shadow_lab_b,0.020284366467181132
PC2,highlight_minus_shadow_warmth,0.024698026064560633
PC2,highlight_minus_shadow_saturation,-0.047409578668774134
PC2,split_tone_distance_lab_ab,0.05006927230124061
PC2,midtone_shadow_lab_b_delta,0.10601291758386307
PC2,highlight_midtone_lab_b_delta,-0.043529668750522485
PC2,luma_skewness,-0.07687516151425086
PC2,luma_kurtosis_excess,-0.0637391250726316
PC2,shadow_compression_ratio,0.053413012424758106
PC2,highlight_compression_ratio,-0.06525005916922495
PC2,highlight_rolloff_ratio,-0.03260080739645835
PC2,shadow_rolloff_ratio,-0.07562980495221107
PC2,upper_lower_luma_spread_ratio,-0.05695158960696148
PC2,midtone_luma_width_p75_p25,0.07842628186357418
PC2,extreme_tail_luma_width,0.05134295908513335
PC2,lower_tail_luma_width_p10_p01,0.014788373897640426
PC2,upper_tail_luma_width_p99_p90,-0.03855125499456527
PC2,fft_low_freq_power_share,0.003400757999708281
PC2,fft_mid_freq_power_share,0.030718870175924513
PC2,fft_high_freq_power_share,0.0325393593687449
PC2,fft_high_mid_power_ratio,0.021293187877537288
PC2,fft_high_low_power_ratio,0.026395108131802847
PC2,fft_radial_loglog_slope,0.024902407998040284
PC2,fft_low_freq_log_power_mean,-0.02466135098474542
PC2,fft_mid_freq_log_power_mean,-0.0099278164435945
