run_id,run_block,effect_type,factor,low_level,high_level,model_key,scene_key,film_key,light_key,scan_key,replicate,low_variant_id,high_variant_id,distance_all_selected_features,distance_color_features,distance_contrast_texture_features,distance_structure_features,n_all_features,n_color_features,n_contrast_texture_features,n_structure_features
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,backstage,portra400,cool_ambient,clean_scan,2,run1_xai_grok_imagine_backstage_portra400_cool_ambient_clean_scan_rep02,run1_xai_grok_imagine_backstage_cinestill800t_cool_ambient_clean_scan_rep02,5.489370466784431,4.467811485662429,3.3593947440293848,1.2439649555280532,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,backstage,portra400,cool_ambient,pushed_scan,1,run1_xai_grok_imagine_backstage_portra400_cool_ambient_pushed_scan_rep01,run1_xai_grok_imagine_backstage_cinestill800t_cool_ambient_pushed_scan_rep01,11.148846878351636,5.049231749304556,10.004041647665042,1.35168263631067,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,backstage,portra400,cool_ambient,pushed_scan,2,run1_xai_grok_imagine_backstage_portra400_cool_ambient_pushed_scan_rep02,run1_xai_grok_imagine_backstage_cinestill800t_cool_ambient_pushed_scan_rep02,7.60802207434936,3.3792985885523823,6.733753063631161,4.136845876782557,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,backstage,portra400,warm_practical,clean_scan,1,run1_xai_grok_imagine_backstage_portra400_warm_practical_clean_scan_rep01,run1_xai_grok_imagine_backstage_cinestill800t_warm_practical_clean_scan_rep01,7.789937667805401,5.2173637385796745,5.561051425611033,2.514897123687329,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,backstage,portra400,warm_practical,clean_scan,2,run1_xai_grok_imagine_backstage_portra400_warm_practical_clean_scan_rep02,run1_xai_grok_imagine_backstage_cinestill800t_warm_practical_clean_scan_rep02,6.051257419720333,5.624548006085493,4.238729072058533,1.3457246836155512,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,backstage,portra400,warm_practical,pushed_scan,1,run1_xai_grok_imagine_backstage_portra400_warm_practical_pushed_scan_rep01,run1_xai_grok_imagine_backstage_cinestill800t_warm_practical_pushed_scan_rep01,7.000428177132715,5.884320478720276,5.018589744378278,1.5867039447354943,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,backstage,portra400,warm_practical,pushed_scan,2,run1_xai_grok_imagine_backstage_portra400_warm_practical_pushed_scan_rep02,run1_xai_grok_imagine_backstage_cinestill800t_warm_practical_pushed_scan_rep02,7.4322605423208445,2.7624267182619175,7.168393022317921,4.234433780829332,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,corner_store,portra400,cool_ambient,clean_scan,1,run1_xai_grok_imagine_corner_store_portra400_cool_ambient_clean_scan_rep01,run1_xai_grok_imagine_corner_store_cinestill800t_cool_ambient_clean_scan_rep01,8.656333574912932,6.199834913593627,6.273028457197567,3.0493119947549046,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,corner_store,portra400,cool_ambient,clean_scan,2,run1_xai_grok_imagine_corner_store_portra400_cool_ambient_clean_scan_rep02,run1_xai_grok_imagine_corner_store_cinestill800t_cool_ambient_clean_scan_rep02,5.260283705328861,3.851946162491029,4.799283740876239,1.6965341997528107,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,corner_store,portra400,cool_ambient,pushed_scan,1,run1_xai_grok_imagine_corner_store_portra400_cool_ambient_pushed_scan_rep01,run1_xai_grok_imagine_corner_store_cinestill800t_cool_ambient_pushed_scan_rep01,4.530344610933606,3.812663212927433,2.3437187912299873,1.6964579679102987,49,32,23,5
