rank_robust_distance,variant_id,run_id,model_key,scene_key,film_key,light_key,scan_key,replicate,image_path,robust_mahalanobis_sq_pc10,empirical_mahalanobis_sq_pc10,chi_square_df,chi_square_975_cutoff,flag_robust_outlier_975,robust_tail_p_value
263,run3_xai_grok_imagine_apartment_cinestill800t_warm_practical_clean_scan_rep01,filmstock_20260503_114446_63c69b,xai_grok_imagine,apartment,cinestill800t,warm_practical,clean_scan,1,data/images/run3_xai_grok_imagine_apartment_cinestill800t_warm_practical_clean_scan_rep01_00001_.png,5.6039733912240095,5.625091341668955,10,20.48317735080739,0,0.8473665200834797
264,run1_xai_grok_imagine_backstage_cinestill800t_cool_ambient_pushed_scan_rep02,filmstock_20260503_005006_f42a60,xai_grok_imagine,backstage,cinestill800t,cool_ambient,pushed_scan,2,data/images/run1_xai_grok_imagine_backstage_cinestill800t_cool_ambient_pushed_scan_rep02_00001_.png,5.580017376803614,5.656301191388722,10,20.48317735080739,0,0.8492287502036218
265,run3_xai_grok_imagine_corner_store_portra400_warm_practical_clean_scan_rep02,filmstock_20260503_114446_63c69b,xai_grok_imagine,corner_store,portra400,warm_practical,clean_scan,2,data/images/run3_xai_grok_imagine_corner_store_portra400_warm_practical_clean_scan_rep02_00001_.png,5.3594229635117285,5.180538260153073,10,20.48317735080739,0,0.8659123002807267
266,run2_xai_grok_imagine_apartment_cinestill800t_cool_ambient_clean_scan_rep01,filmstock_20260503_085439_ff0729,xai_grok_imagine,apartment,cinestill800t,cool_ambient,clean_scan,1,data/images/run2_xai_grok_imagine_apartment_cinestill800t_cool_ambient_clean_scan_rep01_00001_.png,5.248588125399016,4.781880708181565,10,20.48317735080739,0,0.873965408422192
267,run1_chatgpt_image_2_backstage_cinestill800t_warm_practical_clean_scan_rep02,filmstock_20260503_005006_f42a60,chatgpt_image_2,backstage,cinestill800t,warm_practical,clean_scan,2,data/images/run1_chatgpt_image_2_backstage_cinestill800t_warm_practical_clean_scan_rep02_00001_.png,5.247267784916528,5.2812897753269255,10,20.48317735080739,0,0.8740599674716437
268,run2_chatgpt_image_2_corner_store_portra400_cool_ambient_pushed_scan_rep02,filmstock_20260503_085439_ff0729,chatgpt_image_2,corner_store,portra400,cool_ambient,pushed_scan,2,data/images/run2_chatgpt_image_2_corner_store_portra400_cool_ambient_pushed_scan_rep02_00001_.png,5.207821622234204,5.142581121043753,10,20.48317735080739,0,0.8768698328438442
269,run2_xai_grok_imagine_backstage_portra400_warm_practical_pushed_scan_rep01,filmstock_20260503_085439_ff0729,xai_grok_imagine,backstage,portra400,warm_practical,pushed_scan,1,data/images/run2_xai_grok_imagine_backstage_portra400_warm_practical_pushed_scan_rep01_00001_.png,5.03108307419042,4.720924544735584,10,20.48317735080739,0,0.8890919827571957
270,run1_chatgpt_image_2_corner_store_cinestill800t_warm_practical_pushed_scan_rep01,filmstock_20260503_005006_f42a60,chatgpt_image_2,corner_store,cinestill800t,warm_practical,pushed_scan,1,data/images/run1_chatgpt_image_2_corner_store_cinestill800t_warm_practical_pushed_scan_rep01_00001_.png,4.994205931935282,4.398617789613507,10,20.48317735080739,0,0.8915647315841995
271,run1_chatgpt_image_2_corner_store_portra400_cool_ambient_pushed_scan_rep01,filmstock_20260503_005006_f42a60,chatgpt_image_2,corner_store,portra400,cool_ambient,pushed_scan,1,data/images/run1_chatgpt_image_2_corner_store_portra400_cool_ambient_pushed_scan_rep01_00001_.png,4.940201036858707,4.578282731061794,10,20.48317735080739,0,0.8951366501019785
272,run1_xai_grok_imagine_apartment_portra400_cool_ambient_pushed_scan_rep02,filmstock_20260503_005006_f42a60,xai_grok_imagine,apartment,portra400,cool_ambient,pushed_scan,2,data/images/run1_xai_grok_imagine_apartment_portra400_cool_ambient_pushed_scan_rep02_00001_.png,4.843929634398465,4.9423889869685915,10,20.48317735080739,0,0.901356723000562
273,run1_xai_grok_imagine_corner_store_cinestill800t_warm_practical_clean_scan_rep01,filmstock_20260503_005006_f42a60,xai_grok_imagine,corner_store,cinestill800t,warm_practical,clean_scan,1,data/images/run1_xai_grok_imagine_corner_store_cinestill800t_warm_practical_clean_scan_rep01_00001_.png,4.839161559911163,4.822933302861211,10,20.48317735080739,0,0.9016598255727807
