target,target_label,method,rank,feature,coefficient,abs_coefficient
light_key,Lighting,LASSO logistic,9,local_lab_cov_l_b_p90_abs,0.7181616038815497,0.7181616038815497
light_key,Lighting,LASSO logistic,10,hue_hist_12bin_03,-0.711626623274935,0.711626623274935
light_key,Lighting,LASSO logistic,11,left_warmth_mean,0.6447364008883123,0.6447364008883123
light_key,Lighting,LASSO logistic,12,local_lab_corr_l_b_p90_abs,0.6077511213021806,0.6077511213021806
light_key,Lighting,LASSO logistic,13,orientation_entropy,-0.6012725232365285,0.6012725232365285
light_key,Lighting,LASSO logistic,14,highlight_lab_a,0.5922622398922301,0.5922622398922301
light_key,Lighting,LASSO logistic,15,fft_radial_loglog_slope,-0.53831385917893,0.53831385917893
light_key,Lighting,LASSO logistic,16,color_spatial_range_rgb_g,-0.5056023826944236,0.5056023826944236
light_key,Lighting,LASSO logistic,17,hue_red_orange_highlight_share,0.5013136123899624,0.5013136123899624
light_key,Lighting,LASSO logistic,18,warmth_rgb_mean_rg_minus_b,0.4642745089825977,0.4642745089825977
light_key,Lighting,LASSO logistic,19,hue_hist_12bin_01,0.38142703653669985,0.38142703653669985
light_key,Lighting,LASSO logistic,20,upper_tail_luma_width_p99_p90,0.35765588510053514,0.35765588510053514
light_key,Lighting,LASSO logistic,21,rgb_mean_b,-0.3575655984220647,0.3575655984220647
light_key,Lighting,LASSO logistic,22,midtone_shadow_lab_b_delta,0.3538776822008121,0.3538776822008121
light_key,Lighting,LASSO logistic,23,highlight_fraction,-0.33888020036870126,0.33888020036870126
light_key,Lighting,LASSO logistic,24,hue_magenta_share,0.3318631699665421,0.3318631699665421
light_key,Lighting,LASSO logistic,25,deep_shadow_fraction,0.3313905456226942,0.3313905456226942
light_key,Lighting,LASSO logistic,26,halation_ring_red_excess_mean,0.320347648339798,0.320347648339798
light_key,Lighting,LASSO logistic,27,rgb_corr_g_b,-0.24093076481700806,0.24093076481700806
light_key,Lighting,LASSO logistic,28,lab_sd_b,0.232532912615208,0.232532912615208
light_key,Lighting,LASSO logistic,29,warmth_rgb_mean_r_minus_b,0.22949814919733902,0.22949814919733902
light_key,Lighting,LASSO logistic,30,local_lab_corr_l_a_mean,0.22824088885067226,0.22824088885067226
light_key,Lighting,LASSO logistic,31,color_spatial_var_rgb_b,-0.22700553075208943,0.22700553075208943
light_key,Lighting,LASSO logistic,32,highlight_minus_shadow_lab_a,0.22649006409879574,0.22649006409879574
light_key,Lighting,LASSO logistic,33,top_luma_mean,-0.19253552382604927,0.19253552382604927
light_key,Lighting,LASSO logistic,34,fft_high_low_power_ratio,-0.1729370565771944,0.1729370565771944
light_key,Lighting,LASSO logistic,35,hue_green_share,-0.17276440410940547,0.17276440410940547
light_key,Lighting,LASSO logistic,36,luma_skewness,0.16941944850009624,0.16941944850009624
light_key,Lighting,LASSO logistic,37,halation_bright_fraction,0.12936602154710175,0.12936602154710175
light_key,Lighting,LASSO logistic,38,highlight_rolloff_ratio,0.12872313652852518,0.12872313652852518
light_key,Lighting,LASSO logistic,39,local_lab_corr_l_a_abs_mean,-0.1283274691979264,0.1283274691979264
light_key,Lighting,LASSO logistic,40,rgb_mean_g,-0.12043831646402559,0.12043831646402559
light_key,Lighting,Ridge logistic,1,palette_within_cluster_lab_rmse,0.1611951225889579,0.1611951225889579
light_key,Lighting,Ridge logistic,2,fft_high_mid_power_ratio,-0.15476220130825105,0.15476220130825105
