target,target_label,best_n_components_by_auc,rank,feature,vip,x_weight_component_1
scan_key,Scan,7,7,local_lab_corr_l_a_abs_mean,1.4062823485342595,0.10462780825923076
scan_key,Scan,7,8,lower_tail_luma_width_p10_p01,1.3993440524158152,-0.17378873484849075
scan_key,Scan,7,9,edge_density_canny,1.3944981155619056,-0.017506921172133406
scan_key,Scan,7,10,local_lab_corr_l_a_p90_abs,1.3515036338358262,0.10634976083175926
scan_key,Scan,7,11,hue_hist_12bin_09,1.3333572248436076,0.07096691080591817
scan_key,Scan,7,12,hue_hist_12bin_10,1.328553252103937,0.07763191407632383
scan_key,Scan,7,13,hue_hist_12bin_01,1.3211443405608359,-0.09664295207225737
scan_key,Scan,7,14,palette_dominant_lab_a,1.2984430393722741,0.06533443519494321
scan_key,Scan,7,15,hue_magenta_share,1.283611909718305,0.06639385914000494
scan_key,Scan,7,16,hue_hist_12bin_08,1.2680280484560476,0.10035109632675826
scan_key,Scan,7,17,rgb_mean_r,1.2628061743051333,-0.16593200295876526
scan_key,Scan,7,18,texture_highpass_std,1.262178081415394,0.022008848172233742
scan_key,Scan,7,19,lab_corr_a_b,1.2499989356404229,-0.025667547855312615
scan_key,Scan,7,20,saturation_sd,1.2311774671691742,-0.04302563598606893
scan_key,Scan,7,21,shadow_compression_ratio,1.2283661128129064,-0.16949421388742866
scan_key,Scan,7,22,michelson_contrast_p95_p05,1.2263109865505892,0.07239051016820308
scan_key,Scan,7,23,gradient_mag_sd,1.2214441638707927,0.010504169883049974
scan_key,Scan,7,24,luma_p05,1.213978276275934,-0.09975877126224934
scan_key,Scan,7,25,gradient_mag_p95,1.213905742712167,0.0012405072809909402
scan_key,Scan,7,26,local_contrast_mean,1.210161267946593,-0.00815466910447653
scan_key,Scan,7,27,local_lab_corr_a_b_p90_abs,1.191047929009412,-0.02254427320586445
scan_key,Scan,7,28,midtone_lab_l,1.1907651966076807,-0.1676217767420857
scan_key,Scan,7,29,luma_p50,1.179609408409621,-0.16664059788463187
scan_key,Scan,7,30,lab_mean_l,1.1778322868733615,-0.1649081683922187
scan_key,Scan,7,31,luma_mean,1.1692879351446743,-0.1637251370615508
scan_key,Scan,7,32,hue_hist_12bin_11,1.1679819946423733,0.07071234742503665
scan_key,Scan,7,33,gradient_mag_mean,1.1672718060328005,0.01381811617082911
scan_key,Scan,7,34,local_lab_corr_l_b_p90_abs,1.1641555193266229,0.08191496936760123
scan_key,Scan,7,35,hue_hist_12bin_07,1.1569159944936034,0.11933222632301557
scan_key,Scan,7,36,value_mean,1.152939512003488,-0.15634392052985255
scan_key,Scan,7,37,rgb_mean_g,1.1489298403808137,-0.16148234871688927
scan_key,Scan,7,38,edge_luma_mean,1.1462976208557272,-0.1585733004992405
scan_key,Scan,7,39,local_lab_corr_l_b_sd,1.146183959040987,-0.003944690394168222
scan_key,Scan,7,40,hue_teal_cyan_shadow_share,1.129579624551888,-0.1262853156140536
