model_key,feature,ss_total,condition_share,run_block_share,condition_by_run_share,within_run_replicate_share,condition_to_seed_variance_ratio,n_conditions,n_runs,n_replicates_per_run
chatgpt_image_2,fft_high_freq_log_power_mean,20.861621630842507,0.43471574230918486,0.0011141260241523724,0.2594129207796634,0.30475721088700025,0.7690214903294795,24,3,2
chatgpt_image_2,palette_entropy_6,3.031213036078303,0.47414898044576503,0.0070128137925321975,0.18929927104758718,0.329538934714116,0.9016793023387152,24,3,2
chatgpt_image_2,palette_effective_clusters_6,34.25763279292792,0.4880554898433199,0.0065421874056512406,0.18631478827147774,0.31908753447954996,0.9533366998973232,24,3,2
chatgpt_image_2,palette_top1_share,0.9056785487466388,0.529311673901892,0.00011724524408422204,0.15327745278025925,0.31729362807376454,1.124548123574165,24,3,2
chatgpt_image_2,palette_top2_share_gap,1.4850737783643932,0.44524076029860915,0.002435376523345896,0.17413356098248048,0.37819030219556465,0.8025837668576153,24,3,2
chatgpt_image_2,palette_top2_lab_distance,48974.56813422361,0.4034115142383303,0.0037873461786197965,0.31006861834269517,0.2827325212403547,0.6761972848391322,24,3,2
chatgpt_image_2,palette_mean_pairwise_lab_distance,3107.934737073039,0.3222078575923754,0.009994916242106482,0.24058989723914165,0.4272073289263762,0.4753785673109789,24,3,2
chatgpt_image_2,palette_weighted_pairwise_lab_distance,551.3378517583097,0.2660991944493354,0.022264107418072755,0.40532919019564967,0.30630750793694184,0.3625819626259633,24,3,2
chatgpt_image_2,palette_within_cluster_lab_rmse,270.0943538033521,0.526588937459531,0.008155279625076497,0.19651619930833347,0.26873958360705874,1.1123291767490464,24,3,2
chatgpt_image_2,palette_dominant_lab_l,36849.513661426034,0.3574921151888929,0.03488747942520725,0.34397143385827694,0.263648971527623,0.5564011331845259,24,3,2
chatgpt_image_2,palette_dominant_lab_a,696.0117207387509,0.22853235354442492,0.005300266603378636,0.32611615269806676,0.4400512271541295,0.296230638568438,24,3,2
chatgpt_image_2,palette_dominant_lab_b,2200.4002634614353,0.16622401304224188,0.008803477724751398,0.2966306814016216,0.528341827831385,0.19936291718924662,24,3,2
chatgpt_image_2,palette_dominant_lab_chroma,1455.3406278780258,0.27220625897245,0.0013074739570466212,0.27184934224854934,0.454636924821954,0.37401566354243465,24,3,2
xai_grok_imagine,rgb_mean_r,1.0231158048581022,0.6352925011017924,0.0022539366054887453,0.15707798901672582,0.2053755732759929,1.741923330397731,24,3,2
xai_grok_imagine,rgb_mean_g,0.9845844432021013,0.7295893635719815,0.0022481231808922633,0.11545224475220442,0.15271026849492195,2.698079384781127,24,3,2
xai_grok_imagine,rgb_mean_b,1.1849750386623592,0.7880813070028949,0.0006068643091872659,0.08450587648469392,0.12680595220322377,3.7187908997421997,24,3,2
xai_grok_imagine,rgb_sd_r,0.10312644779336874,0.39207472254207837,0.000378024260258729,0.24567390001978945,0.3618733531778735,0.6449390033287706,24,3,2
